Category Code 	Description
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS)
4.A - Solid Waste Disposal	Fraction of Degradable Organic Carbon (DOC) of Municipal Solid Waste (MSW)
4.A - Solid Waste Disposal	Fraction of Degradable Organic Carbon (DOC) of Municipal Solid Waste (MSW)
4.A - Solid Waste Disposal	Fraction of Degradable Organic Carbon (DOC) of Municipal Solid Waste (MSW)
4.A - Solid Waste Disposal	Fraction of Degradable Organic Carbon (DOC) of Municipal Solid Waste (MSW)
4.A - Solid Waste Disposal	Fraction of Degradable Organic Carbon (DOC) of Municipal Solid Waste (MSW)
4.A - Solid Waste Disposal	Fraction of Degradable Organic Carbon (DOC) of Municipal Solid Waste (MSW)
4.A - Solid Waste Disposal	Fraction of Degradable Organic Carbon (DOC) of Municipal Solid Waste (MSW)
4.A - Solid Waste Disposal	Fraction of Degradable Organic Carbon (DOC) of Municipal Solid Waste (MSW)
4.A - Solid Waste Disposal	Fraction of Degradable Organic Carbon (DOC) of Municipal Solid Waste (MSW)
4.A - Solid Waste Disposal	Fraction of Degradable Organic Carbon (DOC) of Municipal Solid Waste (MSW)
4.A - Solid Waste Disposal	Fraction of Degradable Organic Carbon (DOC) of Municipal Solid Waste (MSW)
4.A - Solid Waste Disposal	Fraction of Degradable Organic Carbon (DOC) of Municipal Solid Waste (MSW)
4.A - Solid Waste Disposal	Fraction of Degradable Organic Carbon (DOC) of Municipal Solid Waste (MSW)
4.A - Solid Waste Disposal	Fraction of Degradable Organic Carbon (DOC) of Municipal Solid Waste (MSW)
4.A - Solid Waste Disposal	Fraction of Degradable Organic Carbon (DOC) of Municipal Solid Waste (MSW)
4.A - Solid Waste Disposal	Fraction of Degradable Organic Carbon (DOC) of Municipal Solid Waste (MSW)
4.A - Solid Waste Disposal	Fraction of Degradable Organic Carbon (DOC) of Municipal Solid Waste (MSW)
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	Municipal Solid Waste (MSW) disposal rate
4.A - Solid Waste Disposal	MCF (methane correction factor) by SWDS classification
4.A - Solid Waste Disposal	MCF (methane correction factor) by SWDS classification
4.A - Solid Waste Disposal	MCF (methane correction factor) by SWDS classification
4.A - Solid Waste Disposal	MCF (methane correction factor) by SWDS classification
4.D.1 - Domestic Wastewaster Treatment and Discharge	"(Biochemical Oxygen Demand) BOD5, daily per capita value"
4.D.1 - Domestic Wastewaster Treatment and Discharge	"(Biochemical Oxygen Demand) BOD5, daily per capita value"
4.D.1 - Domestic Wastewaster Treatment and Discharge	"(Biochemical Oxygen Demand) BOD5, daily per capita value"
4.D.1 - Domestic Wastewaster Treatment and Discharge	"(Biochemical Oxygen Demand) BOD5, annual per capita value"
4.D.1 - Domestic Wastewaster Treatment and Discharge	"(Biochemical Oxygen Demand) BOD5, annual per capita value"
4.D.1 - Domestic Wastewaster Treatment and Discharge	"(Biochemical Oxygen Demand) BOD5, annual per capita value"
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD) Value
4.D.1 - Domestic Wastewaster Treatment and Discharge	Fraction of Wastewater Treated
4.D.1 - Domestic Wastewaster Treatment and Discharge	Fraction of Wastewater Treated
4.D.1 - Domestic Wastewaster Treatment and Discharge	Fraction of Wastewater Treated
4.D.1 - Domestic Wastewaster Treatment and Discharge	Fraction of Wastewater Treated
4.D.1 - Domestic Wastewaster Treatment and Discharge	Fraction of Wastewater Treated
4.D.1 - Domestic Wastewaster Treatment and Discharge	Fraction of Wastewater Treated
4.D.1 - Domestic Wastewaster Treatment and Discharge	Fraction of Wastewater Treated
4.D.1 - Domestic Wastewaster Treatment and Discharge	Fraction of Wastewater Treated
4.D.1 - Domestic Wastewaster Treatment and Discharge	Fraction of Wastewater Treated
4.D.1 - Domestic Wastewaster Treatment and Discharge	Fraction of Wastewater Treated
4.D.1 - Domestic Wastewaster Treatment and Discharge	"Methane Conversion Factor (MCF), percentage of anaerobic treatment"
4.D.1 - Domestic Wastewaster Treatment and Discharge	"Methane Conversion Factor (MCF), percentage of anaerobic treatment"
4.D.1 - Domestic Wastewaster Treatment and Discharge	"Methane Conversion Factor (MCF), percentage of anaerobic treatment"
4.D.1 - Domestic Wastewaster Treatment and Discharge	"Methane Conversion Factor (MCF), percentage of anaerobic treatment"
4.D.2 - Industrial Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D.2 - Industrial Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D.2 - Industrial Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D.2 - Industrial Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D.2 - Industrial Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D.2 - Industrial Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D.2 - Industrial Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D.2 - Industrial Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D.2 - Industrial Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D.2 - Industrial Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D.2 - Industrial Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D.2 - Industrial Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D.2 - Industrial Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D.2 - Industrial Wastewater Treatment and Discharge	"Methane Conversion Factor (MCF), percentage of anaerobic treatment"
4.D.2 - Industrial Wastewater Treatment and Discharge	"Methane Conversion Factor (MCF), percentage of anaerobic treatment"
4.D.2 - Industrial Wastewater Treatment and Discharge	"Methane Conversion Factor (MCF), percentage of anaerobic treatment"
4.D.2 - Industrial Wastewater Treatment and Discharge	"Methane Conversion Factor (MCF), percentage of anaerobic treatment"
4.D.2 - Industrial Wastewater Treatment and Discharge	"Methane Conversion Factor (MCF), percentage of anaerobic treatment"
4.D.2 - Industrial Wastewater Treatment and Discharge	"Methane Conversion Factor (MCF), percentage of anaerobic treatment"
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.D - Wastewater Treatment and Discharge	Fraction of Wastewater Treated
4.C - Incineration and Open Burning of Waste	N2O Emission Factors from Waste Incineration
4.C - Incineration and Open Burning of Waste	N2O Emission Factors from Waste Incineration
4.C - Incineration and Open Burning of Waste	N2O Emission Factors from Waste Incineration
4.C - Incineration and Open Burning of Waste	N2O Emission Factors from Waste Incineration
4.C - Incineration and Open Burning of Waste	N2O Emission Factors from Waste Incineration
4.C - Incineration and Open Burning of Waste	N2O Emission Factors from Waste Incineration
4.C - Incineration and Open Burning of Waste	N2O Emission Factors from Waste Incineration
4.C - Incineration and Open Burning of Waste	N2O Emission Factors from Waste Incineration
4.C - Incineration and Open Burning of Waste	N2O Emission Factors from Waste Incineration
4.C - Incineration and Open Burning of Waste	N2O Emission Factors from Waste Incineration
4.C - Incineration and Open Burning of Waste	N2O Emission Factors from Waste Incineration
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Wastewater Produced/Wastewater Generation
4.D.2 - Industrial Wastewater Treatment and Discharge	Biochemical Oxygen Demand (BOD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Biochemical Oxygen Demand (BOD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Biochemical Oxygen Demand (BOD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Biochemical Oxygen Demand (BOD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Biochemical Oxygen Demand (BOD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Biochemical Oxygen Demand (BOD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Biochemical Oxygen Demand (BOD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Biochemical Oxygen Demand (BOD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Biochemical Oxygen Demand (BOD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Biochemical Oxygen Demand (BOD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Biochemical Oxygen Demand (BOD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Biochemical Oxygen Demand (BOD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Biochemical Oxygen Demand (BOD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Biochemical Oxygen Demand (BOD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Biochemical Oxygen Demand (BOD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD)
4.D.2 - Industrial Wastewater Treatment and Discharge	Chemical Oxygen Demand (COD)
4.C - Incineration and Open Burning of Waste	Carbon (C) Content of Waste
4.C - Incineration and Open Burning of Waste	Carbon (C) Content of Waste
4.C - Incineration and Open Burning of Waste	Carbon (C) Content of Waste
4.C - Incineration and Open Burning of Waste	Carbon (C) Content of Waste
4.C - Incineration and Open Burning of Waste	Fossil Carbon as  % of Total Carbon
4.C - Incineration and Open Burning of Waste	Fossil carbon fraction in % of total carbon content
4.C - Incineration and Open Burning of Waste	Fossil Carbon as % of Total Carbon
4.C - Incineration and Open Burning of Waste	Fossil Carbon as % of Total Carbon
4.C - Incineration and Open Burning of Waste	Efficiency of Combustion
4.C - Incineration and Open Burning of Waste	Efficiency of Combustion
4.C - Incineration and Open Burning of Waste	Efficiency of Combustion
4.C - Incineration and Open Burning of Waste	Efficiency of Combustion
4.C - Incineration and Open Burning of Waste	Emission Factors for N2O from Waste Incineration
4.C - Incineration and Open Burning of Waste	Emission Factors for N2O from Waste Incineration
4.C - Incineration and Open Burning of Waste	Emission Factors for N2O from Waste Incineration
4.C - Incineration and Open Burning of Waste	Emission Factors for N2O from Waste Incineration
4.C - Incineration and Open Burning of Waste	Emission Factors for N2O from Waste Incineration
4.C - Incineration and Open Burning of Waste	Emission Factors for N2O from Waste Incineration
4.C - Incineration and Open Burning of Waste	Emission Factors for N2O from Waste Incineration
4.C - Incineration and Open Burning of Waste	Emission Factors for N2O from Waste Incineration
4.C - Incineration and Open Burning of Waste	Emission Factors for N2O from Waste Incineration
2.A.2 - Lime production	Emission Factor for CO2 Emissions from Lime Production
2.A.2 - Lime production	Emission Factor for CO2 Emissions from Lime Production
2.B.1 - Ammonia Production	Emission Factor for Ammonia Production
2.B.1 - Ammonia Production	Emission Factor for Ammonia Production
2.B.5 - Carbide Production	Emission Factor for CO2 Emissions from Calcium Carbide Production (Limestone process)
2.B.5 - Carbide Production	Emission Factor for CO2 Emissions from Calcium Carbide Production (Reduction process)
2.B.5 - Carbide Production	Emission Factor for CO2 Emissions from Calcium Carbide Use in Acetylene Production
	Emission Factor for CH4 from Carbon Black Manufacturing
	Emission Factor for CH4 from Ethylene Manufacturing
	Emission Factor for CH4 from Dichloroethylene Manufacturing
	Emission Factor for CH4 from Styrene Manufacturing
	Emission Factor for CH4 from Methanol Manufacturing
	Emission Factor for CH4 from Coke Manufacturing
	CO2 Emission Factor for Metal Production Generally
	CO2 Emission Factor for Metal Production Generally
	CO2 Emission Factor for Metal Production Generally
	CO2 Emission Factor for Metal Production Generally
2.C.1 - Iron and Steel Production	CO2 Emission Factor for Iron and Steel Production
2.C.2 - Ferroalloys Production	CO2 Emission Factor for Ferroalloy Production
2.C.2 - Ferroalloys Production	CO2 Emission Factor for Ferroalloy Production
2.C.2 - Ferroalloys Production	CO2 Emission Factor for Ferroalloy Production
2.C.2 - Ferroalloys Production	CO2 Emission Factor for Ferroalloy Production
2.C.2 - Ferroalloys Production	CO2 Emission Factor for Ferroalloy Production
2.C.2 - Ferroalloys Production	CO2 Emission Factor for Ferroalloy Production
2.C.2 - Ferroalloys Production	CO2 Emission Factor for Ferroalloy Production
2.C.3 - Aluminium production	CO2 Emission Factor for Primary Alminium Production
2.C.3 - Aluminium production	CO2 Emission Factor for Primary Alminium Production
2.C.3 - Aluminium production	Measured Emissions of PFCs from Primary Alminium Production
2.C.3 - Aluminium production	Measured Emissions of PFCs from Primary Alminium Production
2.C.3 - Aluminium production	Measured Emissions of PFCs from Primary Alminium Production
